Timestamp,Weight,Predictive,Reflexive,Derivative
2021-10-06 12:05:24.654797,0.0,0.0,0.0,0.0,0.0
2021-10-06 12:05:24.791004,0.0,0.0,0.0,0.0,0.0
2021-10-06 12:05:24.905852,0.0,0.0,0.0,0.0,0.0
2021-10-06 12:05:24.952402,0.0,0.0,0.0,0.0,0.0
2021-10-06 12:05:25.082644,0.0,0.0,0.0,0.0,0.0
2021-10-06 12:05:25.262398,0.0,0.0,0.0,0.0,0.0
2021-10-06 12:05:25.394540,0.0,0.0,0.0,0.0,0.0
2021-10-06 12:05:25.525868,0.0,0.0,0.0,0.0,0.0
2021-10-06 12:05:25.647884,0.0,0.0,0.0,0.0,0.0
2021-10-06 12:05:25.768484,0.0,0.0,0.0,0.0,0.0
2021-10-06 12:05:25.902426,0.0,0.0,0.0,0.0,0.0
2021-10-06 12:05:26.031510,0.0,0.0,0.0,0.0,0.0
2021-10-06 12:05:26.160474,0.0,0.0,0.0,0.0,0.0
2021-10-06 12:05:26.288702,0.0,0.0,0.0,0.0,0.0
2021-10-06 12:05:26.394194,0.0,0.0,0.0,0.0,0.0
2021-10-06 12:05:26.478754,0.0,0.0,0.0,0.0,0.0
2021-10-06 12:05:26.604160,0.0,0.0,0.0,0.0,0.0
2021-10-06 12:05:26.765434,0.0,0.0,0.0,0.0,0.0
2021-10-06 12:05:26.889432,0.0,0.0,0.0,0.0,0.0
2021-10-06 12:05:27.020556,0.0,0.0,0.0,0.0,0.0
2021-10-06 12:05:27.155985,0.0,0.0,0.0,0.0,0.0
2021-10-06 12:05:27.294338,0.0,0.0,0.0,0.0,0.0
2021-10-06 12:05:27.391878,0.0,0.0,0.0,0.0,0.0
2021-10-06 12:05:27.521468,0.0,0.0,0.0,0.0,0.0
2021-10-06 12:05:27.654611,0.0,0.0,0.0,0.0,0.0
2021-10-06 12:05:27.765455,0.0,0.0,0.0,0.0,0.0
2021-10-06 12:05:27.901590,0.0,0.0,0.0,0.0,0.0
2021-10-06 12:05:28.022526,0.0,0.0,0.0,0.0,0.0
2021-10-06 12:05:28.153136,0.0,0.0,0.0,0.0,0.0
2021-10-06 12:05:28.260143,0.0,0.0,0.0,0.0,0.0
2021-10-06 12:05:28.399195,0.0,0.0,0.0,0.0,0.0
2021-10-06 12:05:28.535249,0.0,0.0,0.0,0.0,0.0
2021-10-06 12:05:28.654815,0.0,0.0,0.0,0.0,0.0
2021-10-06 12:05:28.761263,0.0,0.0,0.0,0.0,0.0
2021-10-06 12:05:28.899368,0.0,0.0,0.0,0.0,0.0
2021-10-06 12:05:29.033875,0.0,0.0,0.0,0.0,0.0
2021-10-06 12:05:29.152045,0.0,0.0,0.0,0.0,0.0
2021-10-06 12:05:29.293167,0.0,0.0,0.0,0.0,0.0
2021-10-06 12:05:29.399602,0.0,0.0,0.0,0.0,0.0
2021-10-06 12:05:29.495350,0.0,0.0,0.0,0.0,0.0
2021-10-06 12:05:29.621191,0.0,0.0,0.0,0.0,0.0
2021-10-06 12:05:29.753904,0.0,0.0,0.0,0.0,0.0
2021-10-06 12:05:29.887405,0.0,0.0,0.0,0.0,0.0
2021-10-06 12:05:30.021246,0.0,0.0,0.0,0.0,0.0
2021-10-06 12:05:30.164597,0.0,0.0,0.0,0.0,0.0
2021-10-06 12:05:30.265307,0.0,0.0,0.0,0.0,0.0
2021-10-06 12:05:30.399457,0.0,0.0,0.0,0.0,0.0
2021-10-06 12:05:30.522294,0.0,0.0,0.0,0.0,0.0
2021-10-06 12:05:30.660599,0.0,0.0,0.0,0.0,0.0
2021-10-06 12:05:30.771242,0.0,0.0,0.0,0.0,0.0
2021-10-06 12:05:30.894055,0.0,0.0,0.0,0.0,0.0
2021-10-06 12:05:31.006826,0.0,0.0,0.0,0.0,0.0
2021-10-06 12:05:31.140709,0.0,0.0,0.0,0.0,0.0
2021-10-06 12:05:31.291285,0.0,0.0,0.0,0.0,0.0
2021-10-06 12:05:31.401865,0.0,0.0,0.0,0.0,0.0
2021-10-06 12:05:31.501411,0.0,0.0,0.0,0.0,0.0
2021-10-06 12:05:31.611022,0.0,0.0,0.0,0.0,0.0
2021-10-06 12:05:31.773751,0.0,0.0,0.0,0.0,0.0
2021-10-06 12:05:31.889450,0.0,0.0,0.0,0.0,0.0
2021-10-06 12:05:32.002558,0.0,0.0,0.0,0.0,0.0
2021-10-06 12:05:32.135803,0.0,0.0,0.0,0.0,0.0
2021-10-06 12:05:32.262281,0.0,0.0,0.0,0.0,0.0
2021-10-06 12:05:32.390318,0.0,0.0,0.0,0.0,0.0
2021-10-06 12:05:32.475842,0.0,0.0,0.0,0.0,0.0
2021-10-06 12:05:32.649304,0.0,0.0,0.0,0.0,0.0
2021-10-06 12:05:32.776237,0.0,0.0,0.0,0.0,0.0
2021-10-06 12:05:32.870325,0.0,0.0,0.0,0.0,0.0
2021-10-06 12:05:33.042645,0.0,0.0,0.0,0.0,0.0
2021-10-06 12:05:33.169211,0.0,0.0,0.0,0.0,0.0
2021-10-06 12:05:33.254371,0.0,0.0,0.0,0.0,0.0
2021-10-06 12:05:33.408305,0.0,0.0,0.0,0.0,0.0
2021-10-06 12:05:33.537696,0.0,0.0,0.0,0.0,0.0
2021-10-06 12:05:33.631523,0.0,0.0,0.0,0.0,0.0
2021-10-06 12:05:33.766309,0.0,0.0,0.0,0.0,0.0
2021-10-06 12:05:33.900286,0.0,0.0,0.0,0.0,0.0
2021-10-06 12:05:34.032048,0.0,0.0,0.0,0.0,0.0
2021-10-06 12:05:34.154603,0.0,0.0,0.0,0.0,0.0
2021-10-06 12:05:34.277834,0.0,0.0,0.0,0.0,0.0
2021-10-06 12:05:34.406390,0.0,0.0,0.0,0.0,0.0
2021-10-06 12:05:34.538666,0.0,0.0,0.0,0.0,0.0
2021-10-06 12:05:34.640926,0.0,0.0,0.0,0.0,0.0
2021-10-06 12:05:34.759539,0.0,0.0,0.0,0.0,0.0
2021-10-06 12:05:34.878057,0.0,0.0,0.0,0.0,0.0
2021-10-06 12:05:35.015324,0.0,0.0,0.0,0.0,0.0
2021-10-06 12:05:35.143716,0.0,0.0,0.0,0.0,0.0
2021-10-06 12:05:35.265538,0.0,0.0,0.0,0.0,0.0
2021-10-06 12:05:35.400136,0.0,0.0,0.0,0.0,0.0
2021-10-06 12:05:35.501167,0.0,0.0,0.0,0.0,0.0
2021-10-06 12:05:35.596233,0.0,0.0,0.0,0.0,0.0
2021-10-06 12:05:35.783420,0.0,0.0,0.0,0.0,0.0
2021-10-06 12:05:35.901411,0.0,0.0,0.0,0.0,0.0
2021-10-06 12:05:36.027462,0.0,0.0,0.0,0.0,0.0
2021-10-06 12:05:36.132719,0.0,0.0,0.0,0.0,0.0
2021-10-06 12:05:36.291077,0.0,0.0,0.0,0.0,0.0
2021-10-06 12:05:36.400723,0.0,0.0,0.0,0.0,0.0
2021-10-06 12:05:36.514712,0.0,0.0,0.0,0.0,0.0
2021-10-06 12:05:36.664293,0.0,0.0,0.0,0.0,0.0
2021-10-06 12:05:36.768420,0.0,0.0,0.0,0.0,0.0
2021-10-06 12:05:36.894441,0.0,0.0,0.0,0.0,0.0
2021-10-06 12:05:37.015797,0.0,0.0,0.0,0.0,0.0
2021-10-06 12:05:37.128358,0.0,0.0,0.0,0.0,0.0
2021-10-06 12:05:37.285375,0.0,0.0,0.0,0.0,0.0
2021-10-06 12:05:37.417698,0.0,0.0,0.0,0.0,0.0
2021-10-06 12:05:37.529059,0.0,0.0,0.0,0.0,0.0
2021-10-06 12:05:37.641659,0.0,0.0,0.0,0.0,0.0
2021-10-06 12:05:37.766128,0.0,0.0,0.0,0.0,0.0
2021-10-06 12:05:37.912868,0.0,0.0,0.0,0.0,0.0
2021-10-06 12:05:38.024858,0.0,0.0,0.0,0.0,0.0
2021-10-06 12:05:38.157298,0.0,0.0,0.0,0.0,0.0
2021-10-06 12:05:38.280784,0.0,0.0,0.0,0.0,0.0
2021-10-06 12:05:38.400623,0.0,0.0,0.0,0.0,0.0
2021-10-06 12:05:38.499676,0.0,0.0,0.0,0.0,0.0
2021-10-06 12:05:38.594405,0.0,0.0,0.0,0.0,0.0
2021-10-06 12:05:38.702486,0.0,0.0,0.0,0.0,0.0
2021-10-06 12:05:38.900288,0.0,0.0,0.0,0.0,0.0
2021-10-06 12:05:39.027859,0.0,0.0,0.0,0.0,0.0
2021-10-06 12:05:39.167100,0.0,0.0,0.0,0.0,0.0
2021-10-06 12:05:39.289387,0.0,0.0,0.0,0.0,0.0
2021-10-06 12:05:39.399363,0.0,0.0,0.0,0.0,0.0
2021-10-06 12:05:39.516093,0.0,0.0,0.0,0.0,0.0
2021-10-06 12:05:39.632704,0.0,0.0,0.0,0.0,0.0
2021-10-06 12:05:39.788957,0.0,0.0,0.0,0.0,0.0
2021-10-06 12:05:39.892082,0.0,0.0,0.0,0.0,0.0
2021-10-06 12:05:40.025835,0.0,0.0,0.0,0.0,0.0
2021-10-06 12:05:40.124372,0.0,0.0,0.0,0.0,0.0
2021-10-06 12:05:40.258162,0.0,0.0,0.0,0.0,0.0
2021-10-06 12:05:40.405806,0.0,0.0,0.0,0.0,0.0
2021-10-06 12:05:40.511836,0.0,0.0,0.0,0.0,0.0
2021-10-06 12:05:40.647910,0.0,0.0,0.0,0.0,0.0
2021-10-06 12:05:40.783809,0.0,0.0,0.0,0.0,0.0
2021-10-06 12:05:40.887821,0.0,0.0,0.0,0.0,0.0
2021-10-06 12:05:41.012613,0.0,0.0,0.0,0.0,0.0
2021-10-06 12:05:41.157959,0.0,0.0,0.0,0.0,0.0
2021-10-06 12:05:41.260910,0.0,0.0,0.0,0.0,0.0
2021-10-06 12:05:41.393338,0.0,0.0,0.0,0.0,0.0
2021-10-06 12:05:41.519251,0.0,0.0,0.0,0.0,0.0
2021-10-06 12:05:41.655565,0.0,0.0,0.0,0.0,0.0
2021-10-06 12:05:41.780289,0.0,0.0,0.0,0.0,0.0
2021-10-06 12:05:41.894306,0.0,0.0,0.0,0.0,0.0
2021-10-06 12:05:42.008555,0.0,0.0,0.0,0.0,0.0
2021-10-06 12:05:42.146306,0.0,0.0,0.0,0.0,0.0
2021-10-06 12:05:42.291548,0.0,0.0,0.0,0.0,0.0
2021-10-06 12:05:42.420656,0.0,0.0,0.0,0.0,0.0
2021-10-06 12:05:42.518007,0.0,0.0,0.0,0.0,0.0
2021-10-06 12:05:42.652313,0.0,0.0,0.0,0.0,0.0
2021-10-06 12:05:42.786821,0.0,0.0,0.0,0.0,0.0
