Timestamp,Weight,Object,Predictive,Reflexive,Derivative,ico_output
2021-10-11 11:17:25.029756,0.0,1.0,0.0,0.0,0.0,0.0
2021-10-11 11:17:25.145442,0.0,1.0,0.0,0.0,0.0,0.0
2021-10-11 11:17:25.248807,0.0,1.0,0.0,0.0,0.0,0.0
2021-10-11 11:17:25.309994,0.0,1.0,0.0,0.0,0.0,0.0
2021-10-11 11:17:25.452373,0.0,1.0,0.0,0.0,0.0,0.0
2021-10-11 11:17:25.585840,0.0,1.0,0.0,0.0,0.0,0.0
2021-10-11 11:17:25.786463,0.0,1.0,0.0,0.0,0.0,0.0
2021-10-11 11:17:25.875600,0.0,1.0,0.0,0.0,0.0,0.0
2021-10-11 11:17:26.013844,0.0,1.0,0.0,0.0,0.0,0.0
2021-10-11 11:17:26.112025,0.0,1.0,0.158,0.0,0.0,0.0
2021-10-11 11:17:26.285062,0.0,1.0,0.066,0.0,0.0,0.0
2021-10-11 11:17:26.379831,0.0,1.0,0.0,0.0,0.0,0.0
2021-10-11 11:17:26.477841,0.0,1.0,0.0,0.0,0.0,0.0
2021-10-11 11:17:26.665799,0.0,1.0,0.0,0.0,0.0,0.0
2021-10-11 11:17:26.752478,0.0,1.0,0.114,0.0,0.0,0.0
2021-10-11 11:17:26.902972,0.0,1.0,0.0,0.0,0.0,0.0
2021-10-11 11:17:27.038158,0.0,1.0,0.0,0.0,0.0,0.0
2021-10-11 11:17:27.121376,0.0,1.0,0.0,0.0,0.0,0.0
2021-10-11 11:17:27.253623,0.0,1.0,0.0,0.0,0.0,0.0
2021-10-11 11:17:27.385110,0.0,1.0,0.0,0.0,0.0,0.0
2021-10-11 11:17:27.483150,0.0,1.0,0.0,0.0,0.0,0.0
2021-10-11 11:17:27.642248,0.0,1.0,0.0,0.0,0.0,0.0
2021-10-11 11:17:27.691611,0.0,1.0,0.0,0.0,0.0,0.0
2021-10-11 11:17:27.823926,0.0,1.0,0.0,0.0,0.0,0.0
2021-10-11 11:17:28.036458,0.0,1.0,0.466,0.0,0.0,0.0
2021-10-11 11:17:28.167304,0.0,1.0,0.241,0.0,0.0,0.0
2021-10-11 11:17:28.290463,0.0,1.0,0.144,0.0,0.0,0.0
2021-10-11 11:17:28.374556,0.0,1.0,0.338,0.0,0.0,0.0
2021-10-11 11:17:28.544928,0.0,1.0,0.581,0.0,0.0,0.0
2021-10-11 11:17:28.621762,0.0,1.0,0.202,0.0,0.0,0.0
2021-10-11 11:17:28.738506,0.0,1.0,0.322,0.0,0.0,0.0
2021-10-11 11:17:28.849413,0.0,1.0,0.461,0.0,0.0,0.0
2021-10-11 11:17:28.937362,0.0,1.0,0.378,0.0,0.0,0.0
