Timestamp,Weight,Object,Predictive,Reflexive,Derivative,ico_output,Feedback_x,Feedback_z
2022-02-15 14:42:03.311125,0.0,1.0,0.0,0.0,0.0,0.0,0.0012626521056517959,0.0
2022-02-15 14:42:03.420629,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-15 14:42:03.552095,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-15 14:42:03.689177,0.0,1.0,0.0,0.0,0.0,0.0,-0.026383357122540474,0.001035707420669496
2022-02-15 14:42:03.919041,0.0,1.0,0.0,0.0,0.0,0.0,-0.1573355793952942,0.005343094002455473
2022-02-15 14:42:04.100980,0.0,1.0,0.0,0.0,0.0,0.0,-0.1829652488231659,0.0018656171159818769
2022-02-15 14:42:04.207231,0.0,1.0,0.0,0.0,0.0,0.0,-0.12836794555187225,0.0
2022-02-15 14:42:04.322932,0.0,1.0,0.0,0.0,0.0,0.0,-0.05861799046397209,0.0034401663579046726
2022-02-15 14:42:04.476223,0.0,1.0,0.0,0.0,0.0,0.0,-0.031573083251714706,-0.0023756842128932476
2022-02-15 14:42:04.576650,0.0,1.0,0.0,0.0,0.0,0.0,-0.0002878772793337703,-0.06308078020811081
2022-02-15 14:42:04.687938,0.0,1.0,0.0,0.0,0.0,0.0,0.0013123020762577653,-0.13201411068439484
2022-02-15 14:42:04.807150,0.0,1.0,0.0,0.0,0.0,0.0,0.0006629173876717687,-0.13308320939540863
2022-02-15 14:42:04.937665,0.0,1.0,0.019,0.0,0.0,0.0,-0.001034289482049644,-0.05620335042476654
2022-02-15 14:42:05.049160,0.0,1.0,0.296,0.0,0.0,0.0,0.0,0.0
2022-02-15 14:42:05.197667,0.0,1.0,0.03,0.0,0.0,0.0,0.0,0.0
2022-02-15 14:42:05.296769,0.0,1.0,0.0,0.0,0.0,0.0,0.016789738088846207,-0.0013200758257880807
2022-02-15 14:42:05.417043,0.0,1.0,0.0,0.0,0.0,0.0,0.06039563566446304,-0.0006406912580132484
2022-02-15 14:42:05.580638,0.0,1.0,0.0,0.0,0.0,0.0,0.02391979843378067,0.0
2022-02-15 14:42:05.678026,0.0,1.0,0.0,0.0,0.0,0.0,0.007821371778845787,-0.0011664937483146787
2022-02-15 14:42:05.839407,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.00017415673937648535
2022-02-15 14:42:05.939204,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-15 14:42:06.085090,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-15 14:42:06.179062,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-15 14:42:06.341265,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-15 14:42:06.446260,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-15 14:42:06.548937,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-15 14:42:06.606111,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
